Bill period end date,Number of billing days,Average daily usage,Total usage for period,CO2
4-Jan-09,66,19.3,1271,1246
4-Mar-09,59,27,1592,1560
8-May-09,65,15.4,998,978
6-Jul-09,59,15.1,888,870
3-Sep-09,58,23.1,1339,1312
3-Nov-09,61,13.3,814,798
5-Jan-10,63,27.4,1729,1694
5-Mar-10,59,23.2,1371,1344
10-May-10,66,15.3,1013,993
9-Jul-10,60,13,782,766
4-Sep-10,57,14.9,847,830
8-Nov-10,65,8.9,579,567
10-Jan-11,63,26.3,1657,1624
11-Mar-11,60,26.2,1572,1541
11-May-11,61,15.3,931,912
12-Jul-11,62,15.8,980,960
8-Sep-11,58,16.5,959,940
4-Nov-11,57,7.8,445,436
9-Jan-12,66,12.6,833,816
13-Mar-12,64,31.5,2013,1973
14-May-12,62,8.9,550,539
11-Jul-12,58,9.8,569,558
10-Sep-12,61,17.7,1078,1056
9-Nov-12,60,12.4,743,728
10-Jan-13,62,27.4,1701,1667
13-Mar-13,62,27.3,1694,1660
14-May-13,62,11.2,693,679
11-Jul-13,58,12.3,715,701
11-Sep-13,62,13.2,819,803
12-Nov-13,62,12.2,754,739
10-Jan-14,59,21,1239,1214
14-Mar-14,63,42.8,2697,2643
19-May-14,66,21.5,1419,1391
15-Jul-14,57,20.5,1166,1143
12-Sep-14,59,20.6,1218,1194
12-Nov-14,61,18,1095,1073
14-Jan-15,63,28.6,1803,1767
17-Mar-15,62,42.6,2644,2591
18-May-15,62,21.5,1335,1308
20-Jul-15,63,28.2,1776,1740
15-Sep-15,57,26,1480,1450
12-Nov-15,58,20,1159,1136
13-Jan-16,62,46,2854,2797
16-Mar-16,63,53.2,3349,3282
17-May-16,62,29.1,1802,1766
19-Jul-16,63,26.3,1660,1627
15-Sep-16,58,28.1,1632,1599
15-Nov-16,61,23.1,1409,1381
17-Jan-17,63,38.2,2408,2360
20-Mar-17,62,50.6,3136,3073
22-May-17,63,29.6,1864,1827
20-Jul-17,59,32.3,1905,1867
15-Sep-17,57,30.4,1734,1699
14-Nov-17,60,32.2,1933,1894
17-Jan-18,64,63.6,4068,3987
20-Mar-18,62,52.8,3273,3208
23-May-18,64,35.5,2274,2229
19-Jul-18,57,36.2,2064,2023
19-Sep-18,62,35.5,2201,2157
19-Nov-18,61,38.4,2345,2298
18-Jan-19,60,49.7,2984,2924
22-Mar-19,63,53.4,3366,3299
27-May-19,66,26,1717,1683
24-Jul-19,58,24.9,1446,1417
19-Sep-19,57,26.3,1497,1467
20-Nov-19,62,31.7,1966,1927
22-Jan-20,63,62.2,3917,3839
24-Mar-20,62,55.8,3458,3389
22-May-20,59,28.5,1683,1649
24-Jul-20,63,24.6,1548,1517
22-Sep-20,60,21.8,1311,1285
23-Nov-20,62,25.1,1556,1525
