Date,Month,RPH_Attendance,RPH_Admissions,RPH_Tri_1,RPH_Tri_2,RPH_Tri_3,RPH_Tri_4,RPH_Tri_5,FH_Attendance,FH_Admissions,FH_Tri_1,FH_Tri_2,FH_Tri_3,FH_Tri_4,FH_Tri_5,PMH_Attendance,PMH_Admissions,PMH_Tri_1,PMH_Tri_2,PMH_Tri_3,PMH_Tri_4,PMH_Tri_5,KEMH_Attendance,KEMH_Admissions,KEMH_Tri_1,KEMH_Tri_2,KEMH_Tri_3,KEMH_Tri_4,KEMH_Tri_5,SCG_Attendance,SCG_Admissions,SCG_Tri_1,SCG_Tri_2,SCG_Tri_3,SCG_Tri_4,SCG_Tri_5,ADMH_Attendance,ADMH_Admissions,ADMH_Tri_1,ADMH_Tri_2,ADMH_Tri_3,ADMH_Tri_4,ADMH_Tri_5,SDH_Attendance,SDH_Admissions,SDH_Tri_1,SDH_Tri_2,SDH_Tri_3,SDH_Tri_4,SDH_Tri_5,RGH_Attendance,RGH_Admissions,RGH_Tri_1,RGH_Tri_2,RGH_Tri_3,RGH_Tri_4,RGH_Tri_5,JHC_Attendance,JHC_Admissions,JHC_Tri_1,JHC_Tri_2,JHC_Tri_3,JHC_Tri_4,JHC_Tri_5
1-Jul-13,2013_07,235,99,8,33,89,85,20,155,70,N/A,25,67,54,9,252,59,N/A,13,75,159,4,52,6,N/A,N/A,7,20,25,209,109,N/A,42,108,47,11,166,19,N/A,16,62,79,9,133,17,N/A,29,59,42,N/A,155,10,N/A,12,51,81,11,267,73,N/A,27,75,151,12                                                                                                                                                                                                                                                                                            
2-Jul-13,2013_07,209,97,N/A,41,73,80,14,145,56,N/A,22,51,47,24,219,47,N/A,14,61,139,4,43,7,N/A,N/A,N/A,25,17,184,112,N/A,43,73,61,5,175,25,N/A,26,73,55,19,129,25,N/A,25,57,43,4,145,24,N/A,26,45,65,8,241,81,N/A,23,78,133,7                                                                                                                                                                                                                                                                                            
3-Jul-13,2013_07,204,84,7,40,72,79,6,118,60,N/A,24,37,43,12,186,31,N/A,11,53,120,N/A,55,5,N/A,N/A,4,23,28,171,102,N/A,49,69,48,3,145,11,N/A,19,62,60,4,126,7,3,24,42,55,N/A,151,14,N/A,10,50,87,3,213,67,N/A,29,66,99,17                                                                                                                                                                                                                                                                                                 
4-Jul-13,2013_07,199,106,3,37,73,70,15,125,61,N/A,21,47,42,14,192,41,N/A,8,57,126,N/A,42,6,N/A,N/A,7,21,14,153,89,6,35,57,46,9,144,15,N/A,15,48,69,12,108,19,N/A,14,45,43,6,129,15,N/A,24,45,55,4,227,72,5,26,68,117,11                                                                                                                                                                                                                                                                                                  
5-Jul-13,2013_07,193,96,4,40,76,62,11,136,58,4,23,51,45,13,201,42,N/A,14,53,130,N/A,64,3,N/A,N/A,5,36,22,167,117,7,39,70,46,5,147,18,N/A,17,59,63,7,122,24,3,15,61,37,6,122,12,N/A,19,46,53,4,229,71,N/A,37,80,106,4                                                                                                                                                                                                                                                                                                     
6-Jul-13,2013_07,210,87,3,29,68,102,8,156,57,N/A,27,71,50,7,206,35,N/A,3,47,153,N/A,28,6,N/A,N/A,4,16,8,178,107,N/A,33,85,57,N/A,144,18,3,19,61,59,N/A,119,28,N/A,18,57,40,3,137,16,N/A,14,43,76,3,257,66,N/A,30,97,123,6                                                                                                                                                                                                                                                                                                
7-Jul-13,2013_07,196,78,4,21,90,66,15,158,58,N/A,25,68,55,9,196,37,N/A,5,54,135,N/A,30,5,N/A,N/A,3,21,5,156,94,4,42,72,35,3,172,17,N/A,19,59,81,13,127,21,N/A,16,47,53,9,158,13,N/A,12,54,84,7,249,60,N/A,23,98,116,11                                                                                                                                                                                                                                                                                                   
8-Jul-13,2013_07,229,93,5,46,87,68,23,166,72,N/A,35,66,53,12,163,36,N/A,9,38,113,N/A,47,4,N/A,N/A,5,11,31,181,121,3,54,97,26,N/A,165,23,N/A,26,66,62,11,127,19,N/A,18,49,49,10,134,11,N/A,22,41,68,N/A,245,81,N/A,36,78,116,13                                                                                                                                                                                                                                                                                           
9-Jul-13,2013_07,213,77,3,33,74,90,13,133,56,3,24,51,40,15,162,30,N/A,4,35,121,N/A,48,3,N/A,N/A,5,21,22,158,100,3,50,74,29,N/A,142,21,N/A,25,48,55,14,105,15,4,29,29,36,7,128,12,N/A,21,47,53,7,210,69,N/A,27,71,108,3                                                                                                                                                                                                                                                                                                   
10-Jul-13,2013_07,179,75,5,41,63,63,7,131,58,N/A,31,43,45,10,181,36,5,12,55,108,N/A,43,3,N/A,N/A,5,15,23,160,103,4,49,68,37,N/A,155,24,N/A,32,71,39,11,115,23,N/A,17,52,44,N/A,145,4,N/A,12,62,63,6,236,74,N/A,28,74,119,15                                                                                                                                                                                                                                                                                               
11-Jul-13,2013_07,202,94,N/A,34,79,74,14,128,57,N/A,28,42,40,17,162,25,N/A,5,50,105,N/A,38,N/A,N/A,N/A,3,18,17,160,100,N/A,35,81,43,N/A,149,26,N/A,21,69,53,6,119,28,N/A,32,47,28,12,126,13,N/A,17,48,59,N/A,216,77,3,26,84,93,10                                                                                                                                                                                                                                                                                         
12-Jul-13,2013_07,214,118,7,34,72,80,21,145,59,N/A,21,59,49,14,190,33,N/A,6,62,119,N/A,47,4,N/A,N/A,5,27,15,200,136,3,54,98,43,N/A,144,20,N/A,23,50,61,9,114,28,N/A,21,52,35,5,157,20,N/A,18,56,78,5,209,72,3,21,90,81,14                                                                                                                                                                                                                                                                                                 
13-Jul-13,2013_07,220,99,6,31,78,92,13,141,64,4,26,63,35,13,145,19,N/A,N/A,33,110,N/A,31,N/A,N/A,N/A,3,18,10,176,106,4,39,75,54,4,165,20,N/A,19,76,64,5,147,18,N/A,21,56,62,6,121,11,N/A,13,44,63,N/A,224,76,N/A,23,99,92,8                                                                                                                                                                                                                                                                                               
14-Jul-13,2013_07,212,79,5,38,67,87,14,146,47,N/A,27,40,70,8,184,35,N/A,3,40,136,5,29,5,N/A,N/A,6,15,7,156,106,3,32,84,34,3,184,15,N/A,26,67,85,6,135,25,N/A,21,60,45,8,129,20,N/A,14,49,62,3,246,66,N/A,27,100,109,9                                                                                                                                                                                                                                                                                                     
15-Jul-13,2013_07,249,118,6,47,80,104,11,152,70,N/A,30,67,46,9,202,40,N/A,10,56,135,N/A,49,4,N/A,N/A,N/A,28,19,186,116,3,45,80,54,4,141,20,N/A,16,56,63,6,132,25,N/A,21,53,52,5,160,16,N/A,26,46,79,7,268,86,5,38,107,113,5                                                                                                                                                                                                                                                                                               
16-Jul-13,2013_07,211,73,4,37,70,71,28,129,63,N/A,23,59,41,5,175,37,N/A,11,49,110,5,41,N/A,N/A,N/A,6,16,18,152,104,3,41,73,33,N/A,141,20,N/A,29,60,44,7,105,18,N/A,25,31,41,7,129,11,N/A,10,49,68,N/A,213,73,N/A,30,85,88,9                                                                                                                                                                                                                                                                                               
17-Jul-13,2013_07,195,81,4,34,73,77,7,133,67,N/A,27,58,37,10,181,25,N/A,5,57,118,N/A,47,6,N/A,N/A,4,25,17,159,98,3,31,81,41,3,134,22,N/A,23,48,60,N/A,118,30,N/A,30,46,32,10,127,19,N/A,21,46,51,9,216,77,N/A,30,95,85,5                                                                                                                                                                                                                                                                                                  
18-Jul-13,2013_07,209,88,N/A,37,70,97,4,134,58,N/A,33,48,47,5,195,35,N/A,5,43,143,3,38,3,N/A,N/A,4,14,20,171,115,3,34,98,36,N/A,143,25,N/A,20,66,50,6,102,22,N/A,10,36,41,13,110,18,N/A,17,38,52,3,213,72,N/A,26,73,109,4                                                                                                                                                                                                                                                                                                 
19-Jul-13,2013_07,209,88,3,30,75,84,17,154,65,N/A,26,53,59,14,155,35,N/A,11,41,98,4,52,4,N/A,N/A,7,28,17,148,100,5,37,70,34,N/A,146,22,N/A,15,51,76,N/A,106,15,N/A,16,39,45,4,133,17,N/A,23,61,43,5,220,62,N/A,22,88,98,10                                                                                                                                                                                                                                                                                                
20-Jul-13,2013_07,195,70,7,31,65,76,15,147,53,N/A,30,53,51,13,177,29,N/A,7,47,118,4,34,3,N/A,N/A,7,20,7,171,104,N/A,47,73,46,5,151,20,N/A,15,51,79,4,125,32,N/A,19,52,46,7,132,17,N/A,19,47,63,N/A,249,63,N/A,21,94,122,12                                                                                                                                                                                                                                                                                                
21-Jul-13,2013_07,208,84,5,27,83,83,10,166,51,4,26,62,61,13,204,33,N/A,5,57,134,6,24,N/A,N/A,N/A,N/A,19,3,174,90,N/A,33,78,60,N/A,173,16,N/A,25,48,93,7,119,26,N/A,22,50,44,N/A,143,22,N/A,17,55,64,6,244,63,N/A,27,81,124,11                                                                                                                                                                                                                                                                                             
22-Jul-13,2013_07,207,91,5,51,76,68,7,144,58,3,24,51,60,6,221,47,N/A,12,64,141,3,51,4,N/A,N/A,4,26,19,176,112,5,39,82,47,3,161,31,N/A,20,50,76,14,120,22,N/A,27,39,42,12,146,12,N/A,17,55,66,8,261,88,N/A,32,92,129,6                                                                                                                                                                                                                                                                                                     
23-Jul-13,2013_07,222,93,7,41,94,73,7,134,56,3,20,54,44,13,183,40,N/A,15,63,101,3,45,4,N/A,N/A,N/A,24,18,159,104,5,41,69,40,4,150,22,N/A,19,69,56,5,116,24,N/A,19,51,42,4,141,20,N/A,21,58,57,5,233,76,N/A,36,98,91,8                                                                                                                                                                                                                                                                                                     
24-Jul-13,2013_07,199,96,N/A,25,83,73,15,133,68,N/A,27,62,31,12,178,35,N/A,13,58,105,N/A,40,N/A,N/A,N/A,5,14,20,175,112,4,54,67,42,8,153,29,N/A,24,59,58,12,129,22,N/A,30,59,34,5,136,N/A,N/A,12,41,75,8,228,76,3,39,73,105,8                                                                                                                                                                                                                                                                                             
25-Jul-13,2013_07,191,96,N/A,27,85,72,6,149,56,N/A,19,62,50,17,196,24,N/A,8,43,142,3,43,6,N/A,N/A,4,16,23,138,93,3,38,63,32,N/A,143,22,N/A,31,48,55,8,115,26,N/A,12,53,40,8,136,15,N/A,22,37,73,3,235,73,N/A,31,109,84,11                                                                                                                                                                                                                                                                                                 
26-Jul-13,2013_07,208,114,4,30,100,61,12,126,55,N/A,23,34,48,20,148,31,N/A,5,40,103,N/A,42,3,N/A,N/A,5,25,12,178,113,N/A,39,95,38,5,126,16,N/A,12,35,66,12,107,24,N/A,16,37,44,8,137,19,N/A,18,46,72,N/A,203,64,N/A,27,90,82,4                                                                                                                                                                                                                                                                                            
27-Jul-13,2013_07,199,70,N/A,39,71,71,16,137,49,N/A,29,60,39,9,183,31,N/A,7,46,129,N/A,26,5,N/A,N/A,4,16,6,179,99,5,35,88,48,3,157,11,N/A,25,46,79,6,114,27,N/A,20,42,49,3,138,20,N/A,11,57,65,4,222,70,N/A,32,65,121,3                                                                                                                                                                                                                                                                                                   
28-Jul-13,2013_07,232,77,9,18,71,101,32,152,55,N/A,20,64,56,11,206,39,N/A,11,53,139,N/A,24,5,N/A,N/A,3,15,6,183,115,N/A,36,93,50,N/A,188,19,N/A,22,67,92,7,117,23,N/A,36,52,27,N/A,138,17,N/A,19,60,53,5,253,69,N/A,28,95,122,6                                                                                                                                                                                                                                                                                           
29-Jul-13,2013_07,234,104,6,46,80,87,14,156,70,N/A,27,55,58,15,194,47,N/A,9,53,130,N/A,42,3,N/A,N/A,4,17,21,176,106,N/A,46,62,63,4,168,30,N/A,29,58,68,12,128,22,N/A,24,58,37,8,163,14,N/A,14,66,75,8,259,79,N/A,40,76,138,4                                                                                                                                                                                                                                                                                              
